22.12.2025 17:07 | Berlin | 2.7°C | 90%
22.12.2025 17:07 | Berlin | 2.7°C | 90%
22.12.2025 17:07 | Berlin | 2.7°C | 90%
22.12.2025 17:07 | Berlin | 2.7°C | 90%
22.12.2025 17:07 | Berlin | 2.7°C | 90%
22.12.2025 17:09 | wien | 4.0°C | 83%
22.12.2025 17:09 | wiener neustadt | 2.5°C | 82%
22.12.2025 17:54 | ber | 2.1°C | 90%
22.12.2025 17:54 | ber | 2.1°C | 90%
22.12.2025 17:55 | Berlin | 2.1°C | 90%
22.12.2025 17:55 | Berlin | 2.1°C | 90%
22.12.2025 17:55 | Berlin | 2.1°C | 90%
22.12.2025 17:55 | Berlin | 2.1°C | 90%
22.12.2025 17:55 | Berlin | 2.1°C | 90%
22.12.2025 17:55 | Berlin | 2.1°C | 90%
22.12.2025 17:55 | Berlin | 2.1°C | 90%
22.12.2025 17:55 | Berlin | 2.1°C | 90%
22.12.2025 17:55 | Wien | 4.1°C | 81%
22.12.2025 17:55 | Wien | 4.1°C | 81%
22.12.2025 17:55 | Wien | 4.1°C | 81%
27.12.2025 09:49 | Vienna | -0,4°C | 75%
27.12.2025 09:49 | Vienna | -0,4°C | 75%
27.12.2025 09:49 | Vienna | -0,4°C | 75%
27.12.2025 09:49 | Vienna | -0,4°C | 75%
27.12.2025 09:49 | Vienna | -0,4°C | 75%
16.01.2026 15:09 | Wien | 0,3°C | 91%
16.01.2026 15:10 | München | 10,0°C | 54%
16.01.2026 15:10 | Wien | 0,3°C | 91%
16.01.2026 15:10 | München | 10,0°C | 54%
16.01.2026 15:10 | New York | -0,5°C | 82%
16.01.2026 15:11 | Bahamas | 17,6°C | 64%
16.01.2026 15:11 | Bahamas | 17,6°C | 64%
16.01.2026 18:29 | Berlin | 5,3°C | 84%
16.01.2026 18:29 | Wien | -0,2°C | 91%
16.01.2026 18:29 | Quebec | -9,7°C | 62%
16.01.2026 18:29 | 134 | 13,6°C | 72%
16.01.2026 18:29 | 123 | -0,2°C | 91%
16.01.2026 18:29 | 1234 | 3,7°C | 98%
16.01.2026 18:29 | 12345 | -6,5°C | 61%
16.01.2026 18:34 | Wien | -0,1°C | 92%
16.01.2026 18:52 | Wien | -0,1°C | 93%
16.01.2026 18:52 | München | 3,4°C | 78%
16.01.2026 18:52 | Sahara | 12,7°C | 66%
18.01.2026 15:22 | Wien | 1,5°C | 71%
18.01.2026 15:24 | salzburg | 2,0°C | 83%
18.01.2026 15:48 | Wien | 1,2°C | 73%
